BOP,inflation,interest_rate,GDP_growth,currency_crisis
-2564,7,13.80,-0.5,0
-2564,7,13.80,-0.5,0
-2564,6.9,12.80,-0.5,0
-1309,8.4,11.88,-0.4,0
-1309,8.2,11.38,-0.4,0
-1309,8.4,11.38,-0.4,0
-2084,8.3,10.88,-0.3,0
-2084,7.9,10.88,-0.3,0
-2084,7.1,10.38,-0.3,0
-1405,6.8,10.38,0.2,0
-1405,7.1,10.38,0.2,0
-1405,7.2,10.38,0.2,0
-1640,7.1,10.38,0,0
-1640,6.9,10.38,0,0
-1640,7.1,10.38,0,0
-2404,4.7,10.38,-0.3,0
-2404,4.3,9.88,-0.3,0
-2404,3.8,9.88,-0.3,0
-2785,3.6,9.88,0.6,0
-2785,3,9.88,0.6,0
-2785,3,8.88,0.6,1
-2203,2.9,7.88,0.5,1
-2203,2.6,6.88,0.5,1
-2203,2.6,6.88,0.5,1
